2017-02-06,[11.0-18.7],[63.75-74.57894736842105],[3.027272727272727-9.77222222222222],[1015.6666666666665-1021.375],aaaab,Group: 0
2017-02-09,[11.0-18.7],[63.75-74.57894736842105],[3.027272727272727-9.77222222222222],[1015.6666666666665-1021.375],aaaab,Group: 0
2017-01-11,[11.0-18.7],[63.75-74.57894736842105],[3.027272727272727-9.77222222222222],[1015.6666666666665-1021.375],aaaab,Group: 0
2017-02-10,[11.0-18.7],[63.75-74.57894736842105],[3.027272727272727-9.77222222222222],[1015.6666666666665-1021.375],aaaab,Group: 0
2017-02-07,[11.0-18.7],[63.75-74.57894736842105],[3.027272727272727-9.77222222222222],[1015.6666666666665-1021.375],aaaab,Group: 0
2017-01-04,[11.0-18.7],[63.75-74.57894736842105],[3.027272727272727-9.77222222222222],[1015.6666666666665-1021.375],aaaab,Group: 0
2017-02-02,[11.0-18.7],[63.75-74.57894736842105],[3.027272727272727-9.77222222222222],[1015.6666666666665-1021.375],aaaab,Group: 0
2017-02-11,[11.0-18.7],[63.75-74.57894736842105],[3.027272727272727-9.77222222222222],[1015.6666666666665-1021.375],aaaab,Group: 0
2017-02-14,[11.0-18.7],[63.75-74.57894736842105],[3.027272727272727-9.77222222222222],[1015.6666666666665-1021.375],aaaab,Group: 0
2017-01-12,[11.0-18.7],[63.75-74.57894736842105],[3.027272727272727-9.77222222222222],[1015.6666666666665-1021.375],aaaab,Group: 0
2017-03-03,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-03-05,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-03-07,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-03-06,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-03-24,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-03-25,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-03-27,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-03-30,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-03-28,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-04-01,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-03-29,[19.75-31.375],[34.5-42.5],[6.025-13.65],[1005.0-1010.625],aaaab,Group: 1
2017-03-15,[17.444444444444443-28.0],[46.30769230769231-56.33333333333334],[3.4875000000000003-10.077777777777778],[1008.875-1016.5555555555555],aaaab,Group: 2
2017-03-20,[17.444444444444443-28.0],[46.30769230769231-56.33333333333334],[3.4875000000000003-10.077777777777778],[1008.875-1016.5555555555555],aaaab,Group: 2
2017-03-02,[17.444444444444443-28.0],[46.30769230769231-56.33333333333334],[3.4875000000000003-10.077777777777778],[1008.875-1016.5555555555555],aaaab,Group: 2
2017-03-14,[17.444444444444443-28.0],[46.30769230769231-56.33333333333334],[3.4875000000000003-10.077777777777778],[1008.875-1016.5555555555555],aaaab,Group: 2
2017-03-13,[17.444444444444443-28.0],[46.30769230769231-56.33333333333334],[3.4875000000000003-10.077777777777778],[1008.875-1016.5555555555555],aaaab,Group: 2
2017-03-01,[17.444444444444443-28.0],[46.30769230769231-56.33333333333334],[3.4875000000000003-10.077777777777778],[1008.875-1016.5555555555555],aaaab,Group: 2
